UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10007771,London School of Hygiene and Tropical Medicine,England,2015/16,London,188.0,,,0.08900000000000001,0.0,0.006,150.0,,0.028,,1.3,0.435,,0.03,,0.472
10007771,London School of Hygiene and Tropical Medicine,England,2016/17,London,178.0,,,0.081,,-0.006999999999999999,133.0,,0.023,,1.4,0.431,,0.005,,0.443
10007771,London School of Hygiene and Tropical Medicine,England,2017/18,London,199.0,,,0.06,,0.091,147.0,,0.021,,1.3,0.385,,0.095,,0.4320000000000001
10007771,London School of Hygiene and Tropical Medicine,England,2018/19,London,216.0,243.0,,0.054000000000000006,,0.02,115.0,130.0,0.017,0.019,1.4,0.55,0.428,-0.08199999999999999,0.041,0.562
10007771,London School of Hygiene and Tropical Medicine,England,2019/20,London,315.0,291.0,,0.053,,0.116,186.0,172.0,0.02,0.018000000000000002,1.4,0.382,0.458,0.095,0.019,0.69
10007771,London School of Hygiene and Tropical Medicine,England,2020/21,London,317.0,317.0,33.5,0.051,,0.159,219.0,218.0,0.019,0.019,1.3,0.474,0.476,0.037000000000000005,0.035,0.7240000000000001
10007771,London School of Hygiene and Tropical Medicine,England,2021/22,London,215.0,246.0,-7.1,0.049,,-0.031,140.0,161.0,0.016,0.018000000000000002,1.2,0.612,0.472,-0.114,0.025,0.5529999999999999
10007771,London School of Hygiene and Tropical Medicine,England,2022/23,London,228.0,223.0,-15.9,0.043,,-0.075,126.0,122.0,0.014,0.014,1.4,0.436,0.461,-0.018000000000000002,-0.043,0.539
10007771,London School of Hygiene and Tropical Medicine,England,2023/24,London,457.0,346.0,-6.4,0.044,,-0.033,184.0,137.0,0.022,0.017,1.7,0.26,0.5,0.248,0.008,0.833
10007772,Edinburgh Napier University,Scotland,2015/16,Scotland,208.0,,,0.213,0.451,0.046,89.0,,0.037000000000000005,,0.9,0.64,,-0.022,,0.562
10007772,Edinburgh Napier University,Scotland,2016/17,Scotland,232.0,,,0.08199999999999999,,0.012,33.0,,0.043,,1.4,0.633,,-0.01,,0.617
10007772,Edinburgh Napier University,Scotland,2017/18,Scotland,272.0,,,0.08800000000000001,,0.073,69.0,,0.035,,1.6,0.6679999999999999,,-0.04,,0.7509999999999999
10007772,Edinburgh Napier University,Scotland,2018/19,Scotland,215.0,215.0,,0.08800000000000001,,0.058,80.0,80.0,0.029,0.029,1.9,0.6940000000000001,0.6940000000000001,-0.056,-0.056,0.6
10007772,Edinburgh Napier University,Scotland,2019/20,Scotland,79.0,79.0,,0.08,,0.08,104.0,104.0,0.031,0.031,2.0,0.644,0.644,-0.031,-0.031,0.207
10007772,Edinburgh Napier University,Scotland,2020/21,Scotland,151.0,161.0,17.7,0.078,,0.135,157.0,167.0,0.036000000000000004,0.038,2.0,0.6609999999999999,0.601,-0.021,0.04,0.403
10007772,Edinburgh Napier University,Scotland,2021/22,Scotland,368.0,394.0,29.5,0.068,,0.155,173.0,186.0,0.027000000000000003,0.029,1.7,0.662,0.594,-0.045,0.023,1.036
10007772,Edinburgh Napier University,Scotland,2022/23,Scotland,317.0,323.0,1.0,0.003,,0.066,165.0,168.0,0.037000000000000005,0.038,1.7,0.601,0.584,0.045,0.061,0.818
10007772,Edinburgh Napier University,Scotland,2023/24,Scotland,307.0,305.0,-0.4,0.002,,-0.001,149.0,149.0,0.035,0.035,1.8,0.622,0.627,0.03,0.024,0.8
10007773,The Open University,England,2015/16,South East,392.0,,,0.126,0.0,-0.015,342.0,,0.038,,3.5,0.5770000000000001,,0.123,,0.939
10007773,The Open University,England,2016/17,South East,396.0,,,0.141,,-0.036000000000000004,349.0,,0.038,,3.7,0.6679999999999999,,0.013,,1.068
10007773,The Open University,England,2017/18,South East,357.0,,,0.142,,-0.05,334.0,,0.031,,3.6,0.687,,-0.061,,1.031
10007773,The Open University,England,2018/19,South East,229.0,285.0,,0.134,,-0.098,242.0,302.0,0.027000000000000003,0.034,4.1,0.917,0.672,-0.247,-0.002,0.775
10007773,The Open University,England,2019/20,South East,345.0,300.0,,0.127,,-0.061,306.0,265.0,0.033,0.029,4.0,0.541,0.675,0.113,-0.021,0.83
10007773,The Open University,England,2020/21,South East,303.0,302.0,407.8,0.107,,0.102,304.0,303.0,0.026,0.026,3.3,0.631,0.634,0.07400000000000001,0.071,0.759
10007773,The Open University,England,2021/22,South East,93.0,121.0,-57.4,0.108,,-0.039,181.0,237.0,0.021,0.028,3.3,1.05,0.725,-0.404,-0.078,0.343
10007773,The Open University,England,2022/23,South East,149.0,123.0,-32.0,0.107,,-0.119,219.0,180.0,0.028,0.023,2.9,0.5710000000000001,0.774,0.048,-0.155,0.3720000000000001
10007773,The Open University,England,2023/24,South East,298.0,209.0,-17.6,0.103,,-0.103,226.0,157.0,0.032,0.023,2.3,0.419,0.741,0.244,-0.077,0.603
10007774,The University of Oxford,England,2015/16,South East,823.0,,,0.17600000000000002,0.0,0.031,78.0,,0.054000000000000006,,1.0,0.515,,-0.011,,1.5319999999999998
10007774,The University of Oxford,England,2016/17,South East,845.0,,,0.165,,0.033,112.0,,0.056,,1.2,0.506,,0.003,,1.539
10007774,The University of Oxford,England,2017/18,South East,684.0,,,0.4270000000000001,,0.084,89.0,,0.03,,1.3,0.439,,0.025,,1.265
10007774,The University of Oxford,England,2018/19,South East,591.0,665.0,,0.399,,0.014,101.0,115.0,0.023,0.025,1.6,0.546,0.429,-0.054000000000000006,0.063,1.167
10007774,The University of Oxford,England,2019/20,South East,750.0,681.0,,0.489,,0.056,182.0,165.0,0.029,0.026,1.8,0.35,0.435,0.154,0.069,1.18
10007774,The University of Oxford,England,2020/21,South East,814.0,810.0,2.2,0.507,,0.034,156.0,155.0,0.038,0.038,1.6,0.448,0.453,0.041,0.036000000000000004,1.4169999999999998
10007774,The University of Oxford,England,2021/22,South East,662.0,758.0,5.1,0.449,,0.069,121.0,139.0,0.03,0.035,1.4,0.5529999999999999,0.421,-0.044,0.08900000000000001,1.224
10007774,The University of Oxford,England,2022/23,South East,761.0,728.0,-0.1,0.418,,-0.001,124.0,119.0,0.042,0.04,1.4,0.383,0.423,0.117,0.077,1.189
10007774,The University of Oxford,England,2023/24,South East,1030.0,836.0,-1.6,0.414,,-0.019,132.0,106.0,0.048,0.039,1.4,0.249,0.422,0.259,0.086,1.379
10007775,Queen Mary University of London,England,2015/16,London,418.0,,,0.279,0.0,0.063,28.0,,0.047,,0.7,0.5720000000000001,,0.031,,1.024
10007775,Queen Mary University of London,England,2016/17,London,416.0,,,0.233,,0.084,27.0,,0.046,,0.8,0.556,,0.045,,1.003
10007775,Queen Mary University of London,England,2017/18,London,391.0,,,0.197,,0.096,28.0,,0.048,,0.8,0.556,,0.029,,0.962
10007775,Queen Mary University of London,England,2018/19,London,291.0,335.0,,0.496,,0.101,135.0,157.0,0.039,0.045,2.1,0.6990000000000001,0.557,-0.08900000000000001,0.053,0.795
10007775,Queen Mary University of London,England,2019/20,London,405.0,369.0,,0.477,,0.086,175.0,158.0,0.055,0.05,2.3,0.486,0.5710000000000001,0.139,0.054000000000000006,0.877
10007775,Queen Mary University of London,England,2020/21,London,390.0,393.0,9.3,0.47,,0.16899999999999998,203.0,205.0,0.055,0.056,2.3,0.55,0.5429999999999999,0.077,0.084,0.905
10007775,Queen Mary University of London,England,2021/22,London,330.0,389.0,13.7,0.331,,0.213,206.0,245.0,0.056,0.065,2.3,0.633,0.483,0.006,0.156,0.825
10007775,Queen Mary University of London,England,2022/23,London,401.0,391.0,5.4,0.28300000000000003,,0.08,225.0,219.0,0.069,0.067,2.5,0.487,0.509,0.113,0.09,0.904
10007775,Queen Mary University of London,England,2023/24,London,588.0,453.0,4.3,0.264,,0.06,263.0,200.0,0.099,0.077,2.4,0.315,0.535,0.265,0.045,1.113
10007776,Roehampton University,England,2015/16,London,65.0,,,0.6659999999999999,0.0,0.132,72.0,,0.059,,1.4,0.515,,0.083,,0.157
10007776,Roehampton University,England,2016/17,London,91.0,,,0.759,,0.172,104.0,,0.055,,1.9,0.514,,0.039,,0.233
10007776,Roehampton University,England,2017/18,London,145.0,,,0.6579999999999999,,0.087,90.0,,0.049,,2.2,0.534,,0.008,,0.389
10007776,Roehampton University,England,2018/19,London,83.0,87.0,,0.6459999999999999,,0.102,84.0,88.0,0.061,0.064,1.8,0.465,0.425,-0.023,0.017,0.23
10007776,Roehampton University,England,2019/20,London,18.0,19.0,,0.611,,0.069,47.0,47.0,0.054000000000000006,0.054000000000000006,1.2,0.459,0.455,-0.028,-0.024,0.045
10007776,Roehampton University,England,2020/21,London,27.0,28.0,1.8,0.66,,0.102,85.0,88.0,0.055,0.057,1.4,0.474,0.44,-0.032,0.002,0.068
10007776,Roehampton University,England,2021/22,London,173.0,183.0,2.3,0.605,,0.221,117.0,124.0,0.061,0.064,1.2,0.5429999999999999,0.482,-0.063,-0.003,0.4970000000000001
10007776,Roehampton University,England,2022/23,London,243.0,244.0,0.5,0.514,,0.028,94.0,94.0,0.069,0.069,1.2,0.416,0.413,0.047,0.05,0.629
10007776,Roehampton University,England,2023/24,London,202.0,198.0,0.5,0.481,,0.037000000000000005,58.0,57.0,0.108,0.106,1.1,0.4320000000000001,0.456,-0.059,-0.083,0.58
10007777,Royal College of Art,England,2015/16,London,821.0,,,0.171,0.0,0.13,165.0,,0.103,,1.9,0.398,,0.069,,1.539
10007777,Royal College of Art,England,2016/17,London,912.0,,,0.111,,0.172,63.0,,0.156,,0.9,0.303,,0.262,,1.425
10007777,Royal College of Art,England,2017/18,London,826.0,,,0.0,,0.243,67.0,,0.136,,0.6,0.35700000000000004,,0.117,,1.55
10007777,Royal College of Art,England,2018/19,London,935.0,935.0,,0.0,,0.32299999999999995,145.0,145.0,0.133,0.133,1.1,0.329,0.329,0.239,0.239,1.4980000000000002
10007777,Royal College of Art,England,2019/20,London,918.0,918.0,,0.04,,0.25,65.0,65.0,0.14300000000000002,0.14300000000000002,0.6,0.376,0.376,0.159,0.159,1.77
10007777,Royal College of Art,England,2020/21,London,993.0,993.0,17.8,0.35100000000000003,,0.207,86.0,86.0,0.158,0.158,0.7,0.39,0.39,0.16899999999999998,0.16899999999999998,1.872
10007777,Royal College of Art,England,2021/22,London,905.0,905.0,17.6,0.386,,0.206,106.0,106.0,0.179,0.179,0.6,0.3720000000000001,0.3720000000000001,0.162,0.162,1.727
10007777,Royal College of Art,England,2022/23,London,776.0,776.0,4.9,0.325,,0.158,95.0,95.0,0.14800000000000002,0.14800000000000002,0.7,0.4270000000000001,0.4270000000000001,0.094,0.094,1.55
10007777,Royal College of Art,England,2023/24,London,734.0,734.0,0.8,0.217,,0.081,51.0,51.0,0.147,0.147,0.5,0.463,0.463,0.046,0.046,1.5
10007778,Royal College of Music,England,2015/16,London,1241.0,,,0.076,0.0,0.096,358.0,,0.068,,5.9,0.522,,0.097,,1.543
10007778,Royal College of Music,England,2016/17,London,1245.0,,,0.047,,0.098,313.0,,0.103,,6.5,0.37,,0.3,,1.088
10007778,Royal College of Music,England,2017/18,London,1482.0,,,0.039,,0.162,472.0,,0.08199999999999999,,9.1,0.389,,0.299,,1.233
10007778,Royal College of Music,England,2018/19,London,1246.0,1367.0,,0.069,,0.054000000000000006,108.0,119.0,0.08,0.087,2.3,0.564,0.479,0.044,0.129,1.295
10007778,Royal College of Music,England,2019/20,London,1340.0,1260.0,,0.311,,-0.014,146.0,136.0,0.096,0.09,3.2,0.501,0.561,0.056,-0.004,1.991
10007778,Royal College of Music,England,2020/21,London,1504.0,1489.0,0.6,0.237,,0.049,134.0,133.0,0.066,0.065,1.1,0.523,0.532,0.073,0.064,2.102
10007778,Royal College of Music,England,2021/22,London,1209.0,1335.0,0.7,0.142,,0.051,107.0,120.0,0.063,0.07,2.8,0.569,0.475,0.003,0.098,1.838
10007778,Royal College of Music,England,2022/23,London,1189.0,1170.0,-1.4,0.06,,-0.112,84.0,82.0,0.07200000000000001,0.071,2.2,0.49,0.505,0.049,0.033,1.6909999999999998
10007778,Royal College of Music,England,2023/24,London,1333.0,1159.0,-3.0,0.05,,-0.021,138.0,118.0,0.085,0.07400000000000001,3.3,0.363,0.489,0.159,0.034,1.685
10007779,The Royal Veterinary College,England,2015/16,London,705.0,,,0.279,0.0,0.1,121.0,,0.044,,2.1,0.5539999999999999,,0.037000000000000005,,1.694
10007779,The Royal Veterinary College,England,2016/17,London,721.0,,,0.247,,0.12,136.0,,0.049,,2.2,0.527,,0.08199999999999999,,1.6469999999999998
10007779,The Royal Veterinary College,England,2017/18,London,717.0,,,0.02,,0.131,227.0,,0.053,,3.5,0.517,,0.087,,1.66
10007779,The Royal Veterinary College,England,2018/19,London,526.0,596.0,,0.456,,0.12,159.0,182.0,0.046,0.052000000000000005,2.8,0.66,0.534,-0.071,0.054000000000000006,1.4280000000000002
10007779,The Royal Veterinary College,England,2019/20,London,705.0,633.0,,0.42,,0.123,225.0,200.0,0.051,0.046,2.5,0.4370000000000001,0.531,0.172,0.077,1.4880000000000002
10007779,The Royal Veterinary College,England,2020/21,London,665.0,670.0,6.6,0.406,,0.099,186.0,187.0,0.051,0.051,2.6,0.542,0.535,0.08,0.086,1.5519999999999998
10007779,The Royal Veterinary College,England,2021/22,London,540.0,626.0,5.8,0.416,,0.086,160.0,188.0,0.049,0.056,3.0,0.685,0.536,-0.085,0.065,1.476
10007779,The Royal Veterinary College,England,2022/23,London,632.0,613.0,9.8,0.371,,0.121,205.0,198.0,0.055,0.054000000000000006,3.3,0.494,0.522,0.108,0.079,1.431
10007779,The Royal Veterinary College,England,2023/24,London,838.0,665.0,10.8,0.354,,0.124,42.0,33.0,0.067,0.053,1.1,0.342,0.537,0.255,0.061,1.587
10007780,SOAS University of London,England,2015/16,London,426.0,,,0.155,0.0,0.035,50.0,,0.061,,0.6,0.581,,0.031,,0.6829999999999999
10007780,SOAS University of London,England,2016/17,London,422.0,,,0.13,,-0.001,34.0,,0.085,,0.6,0.562,,0.005,,0.6709999999999999
10007780,SOAS University of London,England,2017/18,London,387.0,,,0.17600000000000002,,-0.001,59.0,,0.108,,0.7,0.575,,-0.028,,0.58
10007780,SOAS University of London,England,2018/19,London,262.0,310.0,,0.175,,-0.037000000000000005,47.0,56.0,0.034,0.04,0.6,0.851,0.654,-0.264,-0.067,0.335
10007780,SOAS University of London,England,2019/20,London,423.0,362.0,,0.057,,-0.006999999999999999,57.0,48.0,0.042,0.036000000000000004,0.7,0.509,0.6629999999999999,0.091,-0.063,0.5
10007780,SOAS University of London,England,2020/21,London,525.0,515.0,8.9,0.052000000000000005,,0.068,97.0,95.0,0.035,0.034,1.2,0.5489999999999999,0.5670000000000001,0.119,0.101,0.634
10007780,SOAS University of London,England,2021/22,London,289.0,371.0,21.5,0.042,,0.155,109.0,142.0,0.059,0.075,1.6,0.809,0.5429999999999999,-0.202,0.064,0.388
10007780,SOAS University of London,England,2022/23,London,432.0,391.0,10.4,0.036000000000000004,,0.077,146.0,131.0,0.07,0.063,1.6,0.491,0.583,0.128,0.036000000000000004,0.495
10007780,SOAS University of London,England,2023/24,London,701.0,497.0,11.4,0.028,,0.07400000000000001,192.0,132.0,0.08199999999999999,0.058,1.8,0.293,0.57,0.327,0.05,0.772
10007782,"St George's, University of London",England,2015/16,London,204.0,,,0.29100000000000004,0.0,0.068,62.0,,0.087,,1.2,0.561,,0.039,,0.396
10007782,"St George's, University of London",England,2016/17,London,152.0,,,0.277,,0.043,45.0,,0.061,,0.8,0.562,,-0.015,,0.34600000000000003
10007782,"St George's, University of London",England,2017/18,London,168.0,,,0.255,,0.029,28.0,,0.069,,0.8,0.545,,0.029,,0.373
10007782,"St George's, University of London",England,2018/19,London,107.0,119.0,,0.234,,0.08199999999999999,27.0,30.0,0.061,0.068,0.7,0.68,0.565,-0.112,0.003,0.252
10007782,"St George's, University of London",England,2019/20,London,124.0,118.0,,0.23,,0.034,26.0,24.0,0.093,0.08800000000000001,0.6,0.56,0.613,0.01,-0.044,0.266
10007782,"St George's, University of London",England,2020/21,London,141.0,141.0,3.9,0.212,,0.108,51.0,51.0,0.073,0.073,0.7,0.62,0.623,0.015,0.012,0.307
10007782,"St George's, University of London",England,2021/22,London,94.0,103.0,3.5,0.192,,0.095,88.0,98.0,0.066,0.073,0.9,0.7240000000000001,0.625,-0.098,0.002,0.21
10007782,"St George's, University of London",England,2022/23,London,109.0,105.0,1.9,0.172,,0.048,62.0,60.0,0.08,0.078,0.7,0.589,0.627,0.018000000000000002,-0.019,0.225
10007783,The University of Aberdeen,Scotland,2015/16,Scotland,574.0,,,0.313,0.28600000000000003,0.08199999999999999,38.0,,0.042,,0.7,0.581,,-0.02,,1.425
10007783,The University of Aberdeen,Scotland,2016/17,Scotland,605.0,,,0.316,,0.073,49.0,,0.036000000000000004,,0.8,0.605,,-0.031,,1.5019999999999998
10007783,The University of Aberdeen,Scotland,2017/18,Scotland,627.0,,,0.311,,0.079,55.0,,0.042,,0.8,0.62,,-0.034,,1.554
10007783,The University of Aberdeen,Scotland,2018/19,Scotland,449.0,532.0,,0.55,,0.071,59.0,70.0,0.038,0.045,1.0,0.784,0.598,-0.193,-0.006999999999999999,1.241
10007783,The University of Aberdeen,Scotland,2019/20,Scotland,647.0,564.0,,0.551,,0.076,205.0,177.0,0.044,0.039,2.0,0.494,0.62,0.145,0.018000000000000002,1.295
10007783,The University of Aberdeen,Scotland,2020/21,Scotland,623.0,624.0,6.0,0.542,,0.151,190.0,190.0,0.039,0.039,1.6,0.623,0.622,0.03,0.03,1.409
10007783,The University of Aberdeen,Scotland,2021/22,Scotland,406.0,501.0,0.9,0.449,,0.055,134.0,168.0,0.034,0.042,1.8,0.8270000000000001,0.599,-0.202,0.026,1.114
10007783,The University of Aberdeen,Scotland,2022/23,Scotland,499.0,470.0,1.6,0.433,,0.036000000000000004,154.0,144.0,0.052000000000000005,0.049,1.9,0.562,0.622,0.035,-0.026,1.102
10007783,The University of Aberdeen,Scotland,2023/24,Scotland,851.0,579.0,0.1,0.327,,0.014,138.0,90.0,0.079,0.054000000000000006,1.3,0.307,0.6459999999999999,0.277,-0.063,1.436
10007784,University College London,England,2015/16,London,351.0,,,0.055,0.0,0.083,49.0,,0.086,,0.9,0.51,,0.091,,0.7959999999999999
10007784,University College London,England,2016/17,London,368.0,,,0.128,,0.08199999999999999,66.0,,0.077,,0.9,0.53,,0.054000000000000006,,0.865
10007784,University College London,England,2017/18,London,394.0,,,0.114,,0.109,59.0,,0.084,,0.8,0.5,,0.092,,0.892
10007784,University College London,England,2018/19,London,281.0,331.0,,0.222,,0.099,71.0,85.0,0.067,0.079,0.9,0.703,0.534,-0.124,0.045,0.762
10007784,University College London,England,2019/20,London,406.0,361.0,,0.211,,0.109,83.0,73.0,0.087,0.077,0.8,0.452,0.5589999999999999,0.134,0.027000000000000003,0.86
10007784,University College London,England,2020/21,London,395.0,394.0,29.9,0.368,,0.162,156.0,156.0,0.07200000000000001,0.07200000000000001,1.1,0.5489999999999999,0.55,0.062,0.06,0.903
10007784,University College London,England,2021/22,London,256.0,307.0,16.1,0.336,,0.105,108.0,131.0,0.067,0.081,1.0,0.7240000000000001,0.536,-0.135,0.053,0.6940000000000001
10007784,University College London,England,2022/23,London,338.0,316.0,12.7,0.297,,0.08,134.0,124.0,0.095,0.08900000000000001,1.1,0.466,0.527,0.11,0.049,0.7340000000000001
10007784,University College London,England,2023/24,London,534.0,409.0,3.8,0.28,,0.032,143.0,107.0,0.114,0.08800000000000001,1.1,0.302,0.525,0.268,0.044,0.975
10007785,The University of Bradford,England,2015/16,Yorkshire and The Humber,111.0,,,0.161,0.0,0.004,90.0,,0.049,,1.4,0.605,,-0.023,,0.289
10007785,The University of Bradford,England,2016/17,Yorkshire and The Humber,185.0,,,0.174,,0.006999999999999999,71.0,,0.057,,1.1,0.635,,-0.049,,0.507
10007785,The University of Bradford,England,2017/18,Yorkshire and The Humber,166.0,,,0.204,,-0.031,63.0,,0.08900000000000001,,0.9,0.626,,-0.11,,0.479
10007785,The University of Bradford,England,2018/19,Yorkshire and The Humber,41.0,48.0,,0.214,,0.041,72.0,85.0,0.035,0.04,1.3,0.794,0.623,-0.191,-0.021,0.109
10007785,The University of Bradford,England,2019/20,Yorkshire and The Humber,-18.0,-16.0,,0.217,,0.028,103.0,90.0,0.048,0.043,1.4,0.49,0.604,0.111,-0.003,-0.057
10007785,The University of Bradford,England,2020/21,Yorkshire and The Humber,87.0,87.0,5.5,0.21600000000000005,,0.119,144.0,144.0,0.044,0.044,1.8,0.591,0.593,0.012,0.011,0.224
10007785,The University of Bradford,England,2021/22,Yorkshire and The Humber,96.0,113.0,11.0,0.171,,0.199,150.0,178.0,0.05,0.059,1.7,0.698,0.524,-0.154,0.02,0.29100000000000004
10007785,The University of Bradford,England,2022/23,Yorkshire and The Humber,108.0,111.0,3.1,0.133,,0.045,140.0,143.0,0.067,0.069,1.6,0.4970000000000001,0.476,0.032,0.053,0.278
10007785,The University of Bradford,England,2023/24,Yorkshire and The Humber,299.0,213.0,-4.1,0.14,,-0.058,137.0,95.0,0.077,0.055,1.5,0.261,0.557,0.267,-0.029,0.588
10007786,The University of Bristol,England,2015/16,South West,545.0,,,0.434,0.0,0.13,174.0,,0.063,,2.4,0.494,,0.068,,1.2819999999999998
10007786,The University of Bristol,England,2016/17,South West,582.0,,,0.65,,0.14300000000000002,275.0,,0.051,,3.1,0.49,,0.078,,1.355
10007786,The University of Bristol,England,2017/18,South West,534.0,,,0.604,,0.111,220.0,,0.068,,2.5,0.509,,0.011,,1.332
10007786,The University of Bristol,England,2018/19,South West,449.0,520.0,,0.565,,0.07400000000000001,162.0,189.0,0.028,0.032,2.3,0.667,0.517,-0.098,0.052000000000000005,1.238
10007786,The University of Bristol,England,2019/20,South West,604.0,548.0,,0.639,,0.073,207.0,187.0,0.031,0.028,1.7,0.47,0.56,0.117,0.027000000000000003,1.345
10007786,The University of Bristol,England,2020/21,South West,615.0,618.0,1.5,0.52,,0.127,196.0,196.0,0.036000000000000004,0.036000000000000004,2.1,0.523,0.52,0.085,0.08900000000000001,1.419
10007786,The University of Bristol,England,2021/22,South West,417.0,513.0,5.7,0.473,,0.115,145.0,181.0,0.03,0.037000000000000005,2.0,0.736,0.52,-0.158,0.058,1.211
10007786,The University of Bristol,England,2022/23,South West,553.0,519.0,3.3,0.4370000000000001,,0.061,154.0,143.0,0.046,0.043,1.9,0.459,0.519,0.104,0.044,1.26
10007786,The University of Bristol,England,2023/24,South West,729.0,559.0,4.2,0.376,,0.066,120.0,90.0,0.052000000000000005,0.04,1.6,0.254,0.478,0.27,0.046,1.365
10007787,The University of Buckingham,England,2015/16,South East,306.0,,,0.141,0.0,0.322,148.0,,0.038,,0.9,0.421,,0.201,,0.376
10007787,The University of Buckingham,England,2016/17,South East,334.0,,,0.0,,0.153,107.0,,0.041,,0.8,0.451,,0.11,,0.422
10007787,The University of Buckingham,England,2017/18,South East,326.0,,,0.223,,0.111,166.0,,0.038,,1.1,0.429,,0.097,,0.382
10007787,The University of Buckingham,England,2021/22,South East,213.0,207.0,-0.1,0.115,,-0.021,99.0,96.0,0.068,0.066,1.0,0.393,0.417,0.07200000000000001,0.048,0.231
10007787,The University of Buckingham,England,2022/23,South East,150.0,155.0,22.6,0.104,,0.078,99.0,102.0,0.076,0.078,0.9,0.4270000000000001,0.398,-0.05,-0.021,0.168
10007787,The University of Buckingham,England,2023/24,South East,208.0,194.0,11.4,0.093,,0.051,110.0,102.0,0.084,0.078,0.9,0.35700000000000004,0.422,0.117,0.052000000000000005,0.26
10007787,The University of Buckingham,England,2024/25,South East,158.0,158.0,-37.4,0.086,,-0.069,88.0,88.0,0.071,0.071,1.0,0.431,0.431,-0.025,-0.025,0.212
10007788,The University of Cambridge,England,2015/16,East of England,917.0,,,0.213,0.0,0.029,118.0,,0.026,,1.3,0.423,,0.037000000000000005,,1.5319999999999998
10007788,The University of Cambridge,England,2016/17,East of England,979.0,,,0.18600000000000005,,0.042,133.0,,0.034,,1.2,0.4270000000000001,,0.034,,1.622
10007788,The University of Cambridge,England,2017/18,East of England,1000.0,,,0.485,,0.04,272.0,,0.038,,1.7,0.4320000000000001,,0.027000000000000003,,1.671
10007788,The University of Cambridge,England,2018/19,East of England,814.0,908.0,,0.452,,0.057,209.0,234.0,0.03,0.034,1.7,0.518,0.409,-0.053,0.056,1.388
10007788,The University of Cambridge,England,2019/20,East of England,939.0,872.0,,0.526,,0.059,262.0,242.0,0.034,0.031,1.8,0.38,0.453,0.051,-0.022,1.436
10007788,The University of Cambridge,England,2020/21,East of England,1053.0,1064.0,5.6,0.51,,0.055,286.0,289.0,0.034,0.035,2.0,0.455,0.445,0.048,0.057,1.568
10007788,The University of Cambridge,England,2021/22,East of England,1062.0,1211.0,5.5,0.435,,0.053,235.0,270.0,0.031,0.035,1.7,0.588,0.461,-0.037000000000000005,0.09,1.811
10007788,The University of Cambridge,England,2022/23,East of England,1129.0,1079.0,1.2,0.349,,0.01,206.0,196.0,0.042,0.04,1.6,0.405,0.448,0.08,0.037000000000000005,1.763
10007788,The University of Cambridge,England,2023/24,East of England,1300.0,1121.0,-2.8,0.343,,-0.022,209.0,178.0,0.057,0.049,1.6,0.314,0.45,0.147,0.011,1.927
10007789,The University of East Anglia,England,2015/16,East of England,470.0,,,0.608,0.0,0.08800000000000001,115.0,,0.051,,1.4,0.555,,0.009000000000000001,,1.245
10007789,The University of East Anglia,England,2016/17,East of England,485.0,,,0.5579999999999999,,0.112,131.0,,0.047,,1.5,0.5529999999999999,,0.025,,1.212
10007789,The University of East Anglia,England,2017/18,East of England,533.0,,,0.448,,0.061,166.0,,0.043,,2.1,0.482,,0.15,,1.156
10007789,The University of East Anglia,England,2018/19,East of England,349.0,414.0,,0.479,,0.129,92.0,110.0,0.037000000000000005,0.044,1.4,0.753,0.569,-0.172,0.011,1.027
10007789,The University of East Anglia,England,2019/20,East of England,470.0,417.0,,0.478,,0.04,97.0,85.0,0.051,0.045,1.2,0.503,0.62,0.075,-0.042,1.088
10007789,The University of East Anglia,England,2020/21,East of England,434.0,434.0,4.4,0.495,,0.092,101.0,101.0,0.036000000000000004,0.036000000000000004,1.1,0.581,0.581,0.013,0.013,1.068
10007789,The University of East Anglia,England,2021/22,East of England,300.0,354.0,0.6,0.44,,0.043,75.0,90.0,0.044,0.051,1.0,0.782,0.595,-0.231,-0.043,0.899
10007789,The University of East Anglia,England,2022/23,East of England,351.0,327.0,1.3,0.403,,0.026,70.0,65.0,0.052000000000000005,0.048,0.8,0.505,0.5760000000000001,0.019,-0.053,0.8390000000000001
10007789,The University of East Anglia,England,2023/24,East of England,574.0,421.0,1.1,0.468,,0.026,103.0,72.0,0.084,0.062,0.8,0.275,0.5489999999999999,0.248,-0.026,1.074
10007790,The University of Edinburgh,Scotland,2015/16,Scotland,831.0,,,0.285,0.17600000000000002,0.095,179.0,,0.036000000000000004,,1.9,0.526,,0.071,,1.692
10007790,The University of Edinburgh,Scotland,2016/17,Scotland,856.0,,,0.34700000000000003,,0.105,197.0,,0.041,,1.9,0.53,,0.061,,1.729
10007790,The University of Edinburgh,Scotland,2017/18,Scotland,846.0,,,0.396,,0.056,169.0,,0.047,,1.8,0.53,,0.028,,1.763
