UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Days ratio of total net assets to total expenditure,Days ratio of total net assets to total expenditure excl. pension adjustment,Debt service ratio,External borrowing as a % of total income,General funds as a % of total income,Net cash inflow from operating activities as a % of total income,Net liquidity days,Net liquidity days excl. pension adjustment,Premises costs as a % of total costs,Premises costs as a % of total costs excl. pension adjustment,Ratio of current assets to current liabilities,Staff costs as a % of total income,Staff costs excl. pension adjustment as a % of total income,Surplus/(deficit) as a % of total income,Surplus/(deficit) excl. pension adjustment as a % of total income,Unrestricted reserves as a % of total income
10000571,Bath Spa University,England,2021/22,South West,425.0,443.0,0.2,0.183,,0.08900000000000001,115.0,120.0,0.049,0.051,1.5,0.528,0.486,-0.044,-0.002,1.215
10000571,Bath Spa University,England,2022/23,South West,361.0,366.0,5.5,0.112,,0.094,93.0,94.0,0.056,0.057,1.3,0.371,0.35600000000000004,0.008,0.023,0.98
10000571,Bath Spa University,England,2023/24,South West,301.0,301.0,2.0,0.07200000000000001,,0.024,69.0,69.0,0.043,0.043,1.3,0.3,0.299,0.051,0.052000000000000005,0.782
10000712,University College Birmingham,England,2015/16,West Midlands,947.0,,,0.0,0.0,0.199,244.0,,0.071,,6.5,0.482,,0.146,,2.215
10000712,University College Birmingham,England,2016/17,West Midlands,1015.0,,,0.0,,0.18600000000000005,189.0,,0.06,,4.5,0.508,,0.124,,2.436
10000712,University College Birmingham,England,2017/18,West Midlands,1091.0,,,0.0,,0.192,252.0,,0.061,,5.1,0.508,,0.112,,2.654
10000712,University College Birmingham,England,2018/19,West Midlands,1029.0,1068.0,,0.0,,0.206,142.0,148.0,0.058,0.06,1.8,0.536,0.501,0.052000000000000005,0.087,2.672
10000712,University College Birmingham,England,2019/20,West Midlands,871.0,901.0,,0.0,,0.014,36.0,37.0,0.06,0.062,1.1,0.5710000000000001,0.5379999999999999,0.012,0.045,2.357
10000712,University College Birmingham,England,2020/21,West Midlands,951.0,998.0,0.0,0.0,,0.211,133.0,141.0,0.06,0.063,1.8,0.5479999999999999,0.504,0.058,0.102,2.454
10000712,University College Birmingham,England,2021/22,West Midlands,1078.0,1133.0,0.0,0.0,,0.263,321.0,339.0,0.062,0.065,2.3,0.455,0.408,0.039,0.086,2.8360000000000003
10000712,University College Birmingham,England,2022/23,West Midlands,1005.0,1013.0,0.0,0.0,,0.255,274.0,277.0,0.078,0.079,1.7,0.445,0.4370000000000001,0.041,0.049,2.639
10000712,University College Birmingham,England,2023/24,West Midlands,902.0,899.0,0.0,0.0,,0.068,204.0,203.0,0.11,0.109,1.5,0.443,0.446,0.067,0.064,2.306
10000824,Bournemouth University,England,2015/16,South West,10.0,,,0.237,0.0,0.085,22.0,,0.052000000000000005,,0.6,0.506,,0.01,,0.018000000000000002
10000824,Bournemouth University,England,2016/17,South West,16.0,,,0.194,,0.105,10.0,,0.056,,0.6,0.523,,0.011,,0.034
10000824,Bournemouth University,England,2017/18,South West,96.0,,,0.3,,0.136,108.0,,0.054000000000000006,,2.2,0.55,,-0.005,,0.255
10000824,Bournemouth University,England,2018/19,South West,93.0,98.0,,0.383,,0.126,69.0,72.0,0.05,0.052000000000000005,1.3,0.564,0.515,-0.024,0.025,0.252
10000824,Bournemouth University,England,2019/20,South West,-19.0,-20.0,,0.394,,0.106,44.0,46.0,0.045,0.046,0.8,0.564,0.522,-0.024,0.018000000000000002,-0.062
10000824,Bournemouth University,England,2020/21,South West,-52.0,-55.0,2.5,0.338,,0.14800000000000002,67.0,72.0,0.07,0.075,1.2,0.586,0.524,-0.029,0.033,-0.157
10000824,Bournemouth University,England,2021/22,South West,193.0,208.0,5.3,0.308,,0.141,101.0,110.0,0.059,0.063,1.5,0.594,0.52,-0.04,0.033,0.539
10000824,Bournemouth University,England,2022/23,South West,279.0,284.0,6.6,0.269,,0.159,141.0,144.0,0.08,0.081,1.8,0.53,0.511,0.023,0.041,0.746
10000824,Bournemouth University,England,2023/24,South West,296.0,293.0,3.3,0.243,,0.075,136.0,135.0,0.075,0.075,1.9,0.514,0.526,0.031,0.02,0.785
10000886,The University of Brighton,England,2015/16,South East,353.0,,,0.463,0.0,0.066,169.0,,0.085,,2.8,0.606,,0.01,,0.957
10000886,The University of Brighton,England,2016/17,South East,356.0,,,0.429,,0.123,150.0,,0.066,,2.1,0.626,,0.002,,0.974
10000886,The University of Brighton,England,2017/18,South East,397.0,,,0.391,,0.069,138.0,,0.073,,2.4,0.609,,0.006999999999999999,,1.078
10000886,The University of Brighton,England,2018/19,South East,350.0,366.0,,0.366,,0.084,123.0,130.0,0.067,0.07,2.2,0.644,0.597,-0.023,0.024,0.978
10000886,The University of Brighton,England,2019/20,South East,245.0,253.0,,0.37,,0.056,119.0,122.0,0.06,0.062,1.9,0.6659999999999999,0.634,-0.049,-0.017,0.7040000000000001
10000886,The University of Brighton,England,2020/21,South East,192.0,202.0,2.0,0.359,,0.08800000000000001,100.0,105.0,0.049,0.051,1.5,0.6809999999999999,0.63,-0.052000000000000005,0.0,0.551
10000886,The University of Brighton,England,2021/22,South East,431.0,467.0,1.2,0.332,,0.054000000000000006,79.0,86.0,0.045,0.049,1.3,0.722,0.636,-0.11,-0.025,1.307
10000886,The University of Brighton,England,2022/23,South East,453.0,465.0,1.2,0.28600000000000003,,0.047,67.0,69.0,0.062,0.064,1.1,0.642,0.616,-0.043,-0.017,1.294
10000886,The University of Brighton,England,2023/24,South East,541.0,535.0,3.0,0.202,,0.112,93.0,92.0,0.068,0.067,1.2,0.564,0.574,0.073,0.064,1.371
10000894,Bristol Baptist College,England,2018/19,South West,2525.0,2731.0,,0.0,,-0.38,124.0,134.0,0.07200000000000001,0.078,4.4,0.527,0.443,-0.112,-0.028,7.4460000000000015
10000894,Bristol Baptist College,England,2019/20,South West,3311.0,3361.0,,0.0,,-0.652,41.0,42.0,0.085,0.086,2.5,0.629,0.609,-0.337,-0.317,11.873
10000894,Bristol Baptist College,England,2020/21,South West,4093.0,4093.0,0.0,0.0,,-0.261,194.0,194.0,0.096,0.096,7.6,0.505,0.505,-0.012,-0.012,11.097
10000894,Bristol Baptist College,England,2021/22,South West,3372.0,3372.0,0.0,0.0,,-0.28300000000000003,145.0,145.0,0.097,0.097,5.9,0.435,0.435,-0.042,-0.042,9.425
10000894,Bristol Baptist College,England,2022/23,South West,2777.0,2777.0,0.0,0.0,,-0.695,42.0,42.0,0.079,0.079,2.0,0.631,0.631,-0.6859999999999999,-0.6859999999999999,12.5
10000894,Bristol Baptist College,England,2023/24,South West,2857.0,2857.0,0.0,0.0,,-0.481,119.0,119.0,0.087,0.087,3.7,0.614,0.614,-0.506,-0.506,11.47
10000911,BCNO Limited,England,2019/20,London,1127.0,1127.0,,0.541,,-0.013,64.0,64.0,0.193,0.193,1.6,0.614,0.614,-0.064,-0.064,2.205
10000911,BCNO Limited,England,2020/21,London,1230.0,1230.0,-5.9,0.6970000000000001,,-0.154,13.0,13.0,0.138,0.138,0.1,0.737,0.737,-0.249,-0.249,2.773
10000911,BCNO Limited,England,2021/22,London,1171.0,1171.0,3.6,0.555,,0.117,68.0,68.0,0.101,0.101,0.3,0.573,0.573,-0.053,-0.053,2.205
10000911,BCNO Limited,England,2022/23,London,648.0,648.0,-0.3,0.328,,-0.049,40.0,40.0,0.105,0.105,2.0,0.613,0.613,-0.067,-0.067,1.513
10000911,BCNO Limited,England,2023/24,London,855.0,855.0,-0.1,0.0,,-0.047,369.0,369.0,0.087,0.087,7.9,0.6920000000000001,0.6920000000000001,-0.18600000000000005,-0.18600000000000005,2.299
10000911,BCNO Limited,England,2024/25,London,783.0,783.0,0.0,0.0,,-0.115,307.0,307.0,0.018000000000000002,0.018000000000000002,11.0,0.655,0.655,-0.192,-0.192,2.092
10000936,The University College of Osteopathy,England,2016/17,London,442.0,,,0.745,,0.185,198.0,,0.118,,4.1,0.578,,0.107,,0.959
10000936,The University College of Osteopathy,England,2017/18,London,456.0,,,0.711,,0.16399999999999998,224.0,,0.12,,3.9,0.578,,0.071,,1.033
10000936,The University College of Osteopathy,England,2018/19,London,457.0,457.0,,0.654,,0.093,221.0,221.0,0.124,0.124,4.7,0.609,0.609,0.054000000000000006,0.054000000000000006,1.046
10000936,The University College of Osteopathy,England,2019/20,London,410.0,410.0,,0.69,,-0.021,179.0,179.0,0.139,0.139,4.2,0.649,0.649,-0.077,-0.077,1.1
10000936,The University College of Osteopathy,England,2020/21,London,452.0,452.0,1.5,0.63,,0.103,198.0,198.0,0.134,0.134,4.4,0.601,0.601,0.012,0.012,1.124
10000936,The University College of Osteopathy,England,2021/22,London,443.0,443.0,1.5,0.5479999999999999,,0.097,199.0,199.0,0.154,0.154,1.8,0.568,0.568,0.035,0.035,1.09
10000936,The University College of Osteopathy,England,2022/23,London,374.0,374.0,0.1,0.5,,0.01,146.0,146.0,0.153,0.153,3.2,0.5660000000000001,0.5660000000000001,-0.06,-0.06,1.004
10000961,Brunel University London,England,2015/16,London,297.0,,,0.443,0.0,0.06,119.0,,0.08800000000000001,,1.8,0.5429999999999999,,0.011,,0.7959999999999999
10000961,Brunel University London,England,2016/17,London,347.0,,,0.438,,0.067,111.0,,0.07400000000000001,,1.7,0.546,,0.003,,0.938
10000961,Brunel University London,England,2017/18,London,350.0,,,0.391,,0.105,97.0,,0.084,,1.6,0.523,,0.022,,0.929
10000961,Brunel University London,England,2018/19,London,226.0,259.0,,0.369,,0.103,84.0,97.0,0.071,0.081,1.4,0.677,0.53,-0.141,0.006,0.698
10000961,Brunel University London,England,2019/20,London,267.0,243.0,,0.35100000000000003,,0.05,107.0,96.0,0.083,0.075,1.5,0.48,0.573,0.09,-0.003,0.659
10000961,Brunel University London,England,2020/21,London,205.0,212.0,4.9,0.348,,0.119,120.0,125.0,0.08199999999999999,0.085,1.5,0.61,0.574,-0.097,-0.061,0.609
10000961,Brunel University London,England,2021/22,London,227.0,273.0,3.9,0.293,,0.08199999999999999,98.0,119.0,0.07400000000000001,0.08900000000000001,1.6,0.695,0.501,-0.15,0.044,0.7090000000000001
10000961,Brunel University London,England,2022/23,London,348.0,341.0,3.3,0.275,,0.067,112.0,110.0,0.092,0.09,1.6,0.504,0.524,0.015,-0.005,0.933
10000961,Brunel University London,England,2023/24,London,521.0,385.0,-2.4,0.28,,-0.05,89.0,64.0,0.107,0.079,1.4,0.32299999999999995,0.602,0.212,-0.068,1.119
10000975,Buckinghamshire New University,England,2015/16,South East,103.0,,,0.447,0.0,0.125,85.0,,0.048,,1.8,0.51,,0.018000000000000002,,0.274
