UKPRN,HE provider,Country of HE provider,Academic Year,Region of HE provider,Net cash inflow from operating activities as a % of total income,Surplus/(deficit) as a % of total income,Net cash inflow from operating activities as a % of total income - Outlier,Surplus/(deficit) as a % of total income - Outlier,Outlying value
10003798,Le Cordon Bleu Limited,England,2021/22,London,0.145,-0.199,False,False,False
10003798,Le Cordon Bleu Limited,England,2022/23,London,0.112,-0.024,False,False,False
10003798,Le Cordon Bleu Limited,England,2023/24,London,-0.013,-0.026,False,False,False
10003798,Le Cordon Bleu Limited,England,2024/25,London,-0.037000000000000005,-0.109,False,False,False
10003854,Leeds Arts University,England,2015/16,Yorkshire and The Humber,0.232,0.153,False,False,False
10003854,Leeds Arts University,England,2016/17,Yorkshire and The Humber,0.23,0.156,False,False,False
10003854,Leeds Arts University,England,2017/18,Yorkshire and The Humber,0.264,0.181,True,False,True
10003854,Leeds Arts University,England,2018/19,Yorkshire and The Humber,0.18,0.102,False,False,False
10003854,Leeds Arts University,England,2019/20,Yorkshire and The Humber,0.18,0.13,False,False,False
10003854,Leeds Arts University,England,2020/21,Yorkshire and The Humber,0.285,0.124,True,False,True
10003854,Leeds Arts University,England,2021/22,Yorkshire and The Humber,0.221,0.106,False,False,False
10003854,Leeds Arts University,England,2022/23,Yorkshire and The Humber,0.14,0.063,False,False,False
10003854,Leeds Arts University,England,2023/24,Yorkshire and The Humber,0.067,0.083,False,False,False
10003861,Leeds Beckett University,England,2015/16,Yorkshire and The Humber,0.163,0.046,False,False,False
10003861,Leeds Beckett University,England,2016/17,Yorkshire and The Humber,0.152,0.019,False,False,False
10003861,Leeds Beckett University,England,2017/18,Yorkshire and The Humber,0.14300000000000002,0.025,False,False,False
10003861,Leeds Beckett University,England,2018/19,Yorkshire and The Humber,0.142,-0.079,False,False,False
10003861,Leeds Beckett University,England,2019/20,Yorkshire and The Humber,0.132,-0.047,False,False,False
10003861,Leeds Beckett University,England,2020/21,Yorkshire and The Humber,0.198,-0.084,False,False,False
10003861,Leeds Beckett University,England,2021/22,Yorkshire and The Humber,0.197,-0.023,False,False,False
10003861,Leeds Beckett University,England,2022/23,Yorkshire and The Humber,0.138,-0.027000000000000003,False,False,False
10003861,Leeds Beckett University,England,2023/24,Yorkshire and The Humber,0.028,-0.011,False,False,False
10003863,Leeds Trinity University,England,2015/16,Yorkshire and The Humber,0.158,0.069,False,False,False
10003863,Leeds Trinity University,England,2016/17,Yorkshire and The Humber,0.166,0.02,False,False,False
10003863,Leeds Trinity University,England,2017/18,Yorkshire and The Humber,0.139,0.029,False,False,False
10003863,Leeds Trinity University,England,2018/19,Yorkshire and The Humber,0.162,-0.008,False,False,False
10003863,Leeds Trinity University,England,2019/20,Yorkshire and The Humber,0.16,0.075,False,False,False
10003863,Leeds Trinity University,England,2020/21,Yorkshire and The Humber,0.239,0.099,False,False,False
10003863,Leeds Trinity University,England,2021/22,Yorkshire and The Humber,0.28300000000000003,0.121,True,False,True
10003863,Leeds Trinity University,England,2022/23,Yorkshire and The Humber,0.108,0.069,False,False,False
10003863,Leeds Trinity University,England,2023/24,Yorkshire and The Humber,0.036000000000000004,0.028,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2015/16,North West,0.163,0.093,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2016/17,North West,0.05,0.064,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2017/18,North West,0.203,0.146,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2018/19,North West,0.034,0.079,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2019/20,North West,0.097,0.154,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2020/21,North West,0.08800000000000001,-0.018000000000000002,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2021/22,North West,0.07400000000000001,0.056,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2022/23,North West,0.044,0.024,False,False,False
10003945,The Liverpool Institute for Performing Arts,England,2023/24,North West,0.085,0.037000000000000005,False,False,False
